property_name,property_id,breadcrumbs,price,img,description,seller_name,location,property_type,bathroom,bedrooms
"2bhk,2ba, house rent in chevayur",1686529265,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor']","{'amount': '11,000', 'currency': '₹'}",,"2bhk,2ba, house rent in chevayur.all facilities closer.Family apartment or single house ready to move available.",Joshy,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,2
Studio flat for rent at Calicut,1624511973,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6jd0vgeyqxwv1-IN/image;s=850x0,Near cyber park,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
Luxury studio flat for rent near cyberpark thondayad bypass,1691025309,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '18,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/falk2w8pilym1-IN/image;s=850x0,Luxury studio flat for rent near cyberpark thondayad bypass.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1
1 BHK BRANDED FULLY FURNISHED FLAT FOR RENT NEAR MIMS,1695602867,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram']","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/77hsaf0lbgqc-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Govindapuram, Kozhikode, Kerala",Apartments,1,1
1 BHK BRANDED FULLY FURNISHED FLAT FOR RENT NEAR PUTHIYARA,1695602124,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram']","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/67xmc2549yvi1-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Govindapuram, Kozhikode, Kerala",Apartments,1,1
3 BHK BRANDED FULLYFURNISHED FLAT FOR RENT NEAR MIMS,1695601847,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram']","{'amount': '27,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Govindapuram, Kozhikode, Kerala",Apartments,3,3
3 BHK BRANDEDFURNISHED FLAT FOR RENT NEAR THONDAYAD,1695601223,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '34,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yxg3ax5rg83y-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR GOVINDHAPURAM,1696135044,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram']","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/zxsf46e04ee33-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Govindapuram, Kozhikode, Kerala",Apartments,2,2
Fullyfurnished Branded Flat For Rent At Calicut,1685808807,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill']","{'amount': '30,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/xwotx9yq5ovf3-IN/image;s=850x0,Looking for FullyFurnished Flat for Rent at Calicut,Big Deals,"West Hill, Kozhikode, Kerala",Apartments,3,3
2 BHK FURNISHED FLAT FOR RENT NEAR KOVOOR,1695600602,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kovoor']","{'amount': '18,500', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Kovoor, Kozhikode, Kerala",Apartments,2,2
