main title,product title,listing price,sale price,ratings,total ratings,image
Face Primer Collection,Nykaa Prep Me Up! Face Primer,₹549,₹494,"('4.4', '/5')",16617,"https://images-static.nykaa.com/media/catalog/product/f/a/face-primer.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Lakme Absolute Blur Perfect Makeup Primer,₹800,₹480,"('4.4', '/5')",14602,"https://images-static.nykaa.com/media/catalog/product/l/a/lakm_-absolute-blur-perfect-makeup-primer.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Maybelline New York Fit Me Primer - Matte+Poreless,₹549,₹412,"('4.4', '/5')",5400,"https://images-static.nykaa.com/media/catalog/product/0/4/04210e16902395773153_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Insight Cosmetics 3 In 1 Long Lasting Primer,₹260,₹234,"('4.4', '/5')",17512,"https://images-static.nykaa.com/media/catalog/product/9/7/971a3858904207502386_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Colorbar Perfect Match Primer,₹850,₹638,"('4.4', '/5')",11263,"https://images-static.nykaa.com/media/catalog/product/2/c/2ce9017N_8904052428978_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Kay Beauty Colour Correcting Primer - Peach,₹799,₹679,"('4', '/5')",754,"https://images-static.nykaa.com/media/catalog/product/a/6/a6003378904330900578_01.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,NYX Professional Makeup Honey Dew Me Up,₹1499,₹1049,"('4.2', '/5')",574,"https://images-static.nykaa.com/media/catalog/product/0/c/0c9f999800897830908_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Faces Canada Ultime Pro Primerizer Primer + Moisturizer,₹799,₹559,"('4.4', '/5')",642,"https://images-static.nykaa.com/media/catalog/product/f/c/fca228c8903380004014__1_.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Smashbox Photo Finish Primer Travel Size - The Original Smooth & Blur Primer,,₹1450,"('4.4', '/5')",1096,"https://images-static.nykaa.com/media/catalog/product/4/c/4c2b72c607710099708-10ml_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Plume Silk Blur Moisturising Primer,₹650,₹585,"('4.8', '/5')",173,"https://images-static.nykaa.com/media/catalog/product/4/4/446ff25plprsb_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,M.A.C Prep + Prime Fix+ - Original,,₹1950,"('4.5', '/5')",10723,"https://images-static.nykaa.com/media/catalog/product/7/3/739429a773602345830_rv__1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Lakme 9 to 5 Primer + Matte Powder Foundation Compact - Ivory Cream,₹600,₹420,"('4.3', '/5')",12527,"https://images-static.nykaa.com/media/catalog/product/0/2/02e3d0d8901030654886_h.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Nykaa Prep Me Up! Mini Primer,,₹129,"('4.3', '/5')",4728,"https://images-static.nykaa.com/media/catalog/product/n/y/nykac00000142_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Embryolisse Lait-Creme Concentre,,₹1250,"('4.5', '/5')",2596,"https://images-static.nykaa.com/media/catalog/product/3/3/3350900000394_2.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Lakme Absolute Blur Perfect Makeup Primer - Mini,₹299,₹209,"('4.3', '/5')",11720,"https://images-static.nykaa.com/media/catalog/product/2/4/24815_h-8901030790065.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Charlotte Tilbury Hollywood Filter - 6.5 Deep,₹4000,₹3200,"('4.6', '/5')",382,"https://images-static.nykaa.com/media/catalog/product/d/c/dcbf6505060696173322.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Colorbar Flawless Finish Primer,₹499,₹374,"('4.5', '/5')",5613,"https://images-static.nykaa.com/media/catalog/product/9/8/98e21ac8904052433385_1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,e.l.f. Cosmetics Poreless Putty Primer - Universal Sheer,,₹750,"('4.5', '/5')",941,"https://images-static.nykaa.com/media/catalog/product/6/0/609332859128.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Charlotte Tilbury Hollywood Flawless Filter Mini - 4.5 Medium,,₹1500,"('4.3', '/5')",133,"https://images-static.nykaa.com/media/catalog/product/8/8/884554b5060696174107-1.jpg?tr=w-344,h-344,cm-pad_resize"
Face Primer Collection,Swiss Beauty Real Make-Up Base Highlighting Primer - 01 Natural Tint,₹399,₹339,"('4.4', '/5')",2783,"https://images-static.nykaa.com/media/catalog/product/2/9/298ed068904325006285_1.jpg?tr=w-344,h-344,cm-pad_resize"
