Room available for students,1695943555,"{'₹', 2650.0}",https://apollo-singapore.akamaized.net:443/v1/files/0fgshts8w8551-IN/image,Neat and clean room available for students only.its located in prime area.its only for boys,"Eranjipalam,Kozhikode,Kerala",Houses & Villas,4+,4+
Kozhikode. Karaparamp,1696348935,"{16000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/zzg0h6u4gamq-IN/image,Single house,"Karaparamba,Kozhikode,Kerala",Houses & Villas,3,3
Room available for students,1695943555,"{2650.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/0fgshts8w8551-IN/image,Neat and clean room available for students only.its located in prime area.its only for boys,"Eranjipalam,Kozhikode,Kerala",Houses & Villas,4+,4+
House( Ground Floor) for Rent,1694089131,"{19000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/uq96agjobbb32-IN/image,"Rent -Rs.19,000/-(Negotiable)
Parayanchery Residents Association 
PRA No 85
Ground Floor
1000Sq ft
3 Bed rooms 
Two Bathrooms (Attached)
Two Car Parking space available

Location 
Opp to MIMS Gents Hostel 
1.1 Kms from MIMS aster Hospital
1.7 Kms from Baby Memorial  Hospital
2.2Kms from New bus stand

Bachelor's Or Office Purpose is Preferred
Brokers Please excuse","Parayanchery,Kozhikode,Kerala",Houses & Villas,2,3
Spacious 2BHK- First floor of an independent House,1688139048,"{12000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/kb46hsp3izuo-IN/image,"Spacious 2BHK- First floor of an independent House in calm & green residential area

Location- 750 mtrs from Pottammal Junction/ 700 mtrs from Deshaposhini public library-Kuthiravattom

Ideal for working family with easy access to Calicut City/ MIMS Hospital/ Puthiyara/ Thondayad By-pass/ Medical College

Both bedrooms are bath attached/
Spacious hall/
Kitchen with storage/
Open, covered and secured terrace verandah/ Sit out space/
Car Parking available","Pottammal,Kozhikode,Kerala",Houses & Villas,2,2
Studio fully furnished flat for rent at Thondayad bypass,1639834484,"{18000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yxidog71fvoo3-IN/image,Studio fully furnished flat for rent at Thondayad bypass,"Thondayad,Kozhikode,Kerala",Apartments,1,1
3bhk full furnished apartment for rent  Beach side,1696470762,"{25000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sd3crp09wq371-IN/image,"Take a look at this well furnished 3 bhk apartment at a really good price of 25000 rs,location beach side,2nd floor,3 floored apartment building
2 ac
3 cots
Dining table
Refrigerator","Calicut Beach,Kozhikode,Kerala",Apartments,Furnished,3
House for rent very near to Karaparamba govt.high school,1682991962,"{11000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ubwnbi9n37rj1-IN/image,"Renting out 1st floor 700 sw
Sq.ft.
For Rs.12000/- p.m.  House is located  at PARUKANDY BALARAMAN ROAD,KARAPARAMBA-EAST HILL ROAD  and very near (WEST SIDE)to KARAPARAMBA GOVT.HIGH SCOOL","Karaparamba,Kozhikode,Kerala",Houses & Villas,2,1
2 BHK attached indipendent House chevaur,1696476729,"{16000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/pvmdb55ehvmc1-IN/image,"* 2 bedroom attached common bathroom
* 2 bhk A.C,2 cot
* K.w.a water connection
* Vrindavan colny 
* All vehicles acess road frontage
* 50,000 adv vridhavan colany
* Main road frontage","Chevayur,Kozhikode,Kerala",Houses & Villas,3,2
മഠത്തിൽ മുക്ക് 450 മീറ്റർ,1691135765,"{20000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dleq52xpmmq33-IN/image,4ബെഡ് റൂം 3 അറ്റാച്ച്ഡ് 1 ലക്ഷം അഡ്വാൻസ് 20000/- വാടക കിണർ,"Hill View Colony,Kozhikode,Kerala",Houses & Villas,3,4
5 bedroom house for rent in iringadanpally,1696469473,"{35000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qztsc9b95r262-IN/image,"5 bedroom house suitable for officials or large family,location kovoor jdt road,brand new,ample parking space available","Kovoor,Kozhikode,Kerala",Houses & Villas,4+,4+
"HOUSE FOR RENT AT KOVOOR,KOZHIKKODE",1696469303,"{25000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/l3pawubze1i73-IN/image,"FULLY INDEPENDENT VILLA WITH 4 BED ROOMS, 5 BATH ROOMS KITCHEN HALL WORK AREA VARANDAH CAR PARKING AT KOVOOR HARDLY 1 KM FROM KOVOOR ,NEAR MEDICAL COLLEGE CALICUT.25,000(ASKING PRICE)+ 6 MONTHS ADVANCE-","Kovoor,Kozhikode,Kerala",Houses & Villas,4+,4
Semi furnished room,1696439818,"{5000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/gkutsex5gryg-IN/image,"One room with bathroom attached
Girls or working women","Kovoor,Kozhikode,Kerala",Builder Floors,1,1
വാടക വീട് ചേവായൂർ വീടിന്റെ മുകളിൽ,1696438956,"{16000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/mldexwaygarx1-IN/image,ഓഫീസിന് പറ്റിയ വീട്,"Chevayoor,Kozhikode,Kerala",Houses & Villas,2,3
Flat Share,1696434832,"{5000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dlg8h3wl92ou1-IN/image,ഒരു flat ലെ ഒരു room വാടകക്ക്.കൊടുക്കാനുണ്ട് (MALE),"Ashokapuram,Kozhikode,Kerala",Apartments,1,1
Panayathine,1696434209,"{800000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/h5n1he8rpve33-IN/image,"Eranchipalam canal road 
Near Malabar Hospital
Two wheeler site
Two bedroom attached bathroom
Hall,kitchen","Eranhipalam,Kozhikode,Kerala",Houses & Villas,2,2
Students house for share ( 25 age below bachelor only),1696426892,"{'₹', 2100.0}",https://apollo-singapore.akamaized.net:443/v1/files/lbtg39go8o332-IN/image,"Kozhikode Town 4 km > കരപ്പറമ്പ് 400 മീറ്റർ ഹിസ്റ്റ് ഹിൽ 300 മീറ്റർ, രണ്ടിന്റെയും ഇടക് ആണ് വീട് ഉള്ളത്, വാർപ്പിട്ട ഒരു വീട് ചുറ്റുമതിലും [ 3bedroom - sit out -kitchen area 3- bathroom 2-toilet 2  വീടിന്റെ ഉളിൽ ].
ഇപ്പൊ ഇവിടെ ഉള്ളത് students ആണ്. അത് കൊണ്ടാണ് 25 below bachelor എന്ന് പറയുന്നത്, വീടും പരിസരവും ക്ലീൻ ആണ്. ( ഫുഡ്‌ ഇവിടെ ഉണ്ടാകാരാണ് പതിവ് )
       -[   ഇനി 4 പേർക്ക് കൂടി സൗകര്യം ഉണ്ട് ]-
Only decent team inbox messege","Karaparamba,Kozhikode,Kerala",Houses & Villas,3,3
Home stay  for bachelors in Calicut town,1696424617,"{'₹', 2500.0}",https://apollo-singapore.akamaized.net:443/v1/files/aw9qjtj5zcdp1-IN/image,"We are offering electricity, water, drinking water, bed and fan all are including 2500/head. Jss 2 kms away from Kozhikode railway station","West Nadakkavu,Kozhikode,Kerala",Houses & Villas,2,3
"Karaparampa 2BHK Rental New 2 house,Rent 15000/- Advance  75000/-",1696417221,"{15000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/fqtzrg3ewu1r-IN/image,"Kozhikode Karaparampa New Rental house 2bed rooms attached ground floor and 1st floor 2 House 1250+1250
sqrft Rent 15000/- Advance 75000/-

Westhill 2 bed rooms attached rental  Apartment, 1st floor, 1100sqr ft. Near kannur road, bachelors allowed rent 12000/- Advance 50000/-","Karaparamba,Kozhikode,Kerala",Houses & Villas,2,2
2BHK near Thali temple,1696414390,"{'₹', 12500.0}",https://apollo-singapore.akamaized.net:443/v1/files/nek2xh5kpgal2-IN/image,"An apartment in the heart of calicut city with 2 bedrooms, 2 bathrooms, Hall and kitchen, Near Achuthan Girls HSS, Thali temple, Calicut.","Chalappuram,Kozhikode,Kerala",Apartments,2,2
Near to university,1696414095,"{10000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/cogjh0ci3519-IN/image,Near to university,"Calicut University,Kozhikode,Kerala",Houses & Villas,2,2
House for rent near mankave byepass thalikulangara,1696408250,"{10000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/s61kc3x6xg4n1-IN/image,House for rent thalikulangara advance 60000 rs rent 10000,"Mankavu Chalil,Olavanna,Kerala",Houses & Villas,2,4
Villa for rent,1696407001,"{25000.0, '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/df9ng8tij70b3-IN/image,Villa for rent,"Mankavu,Kozhikode,Kerala",Houses & Villas,4,4
2bhk fully furnished flat rent at Calicut,1580640068,"{'₹', 27500.0}",https://apollo-singapore.akamaized.net:443/v1/files/wa5wsxe72qzr3-IN/image,"2bhk fully furnished Flat for rent at Calicut

3 Club house

Mall, Hospital , Schools","Thondayad,Kozhikode,Kerala",Apartments,3,2
