property_name,property_id,breadcrumbs,price,img,description,seller_name,location,property_type,bathroom,bedrooms
All type of House in city,1671254599,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '21,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/k2awfjko7pxj3-IN/image;s=850x0,Get your appoitment now,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
മനസ്സിൽ ഇണങ്ങുന്ന ഫ്ലാറ്റിൽ നിൽക്കാം,1671138640,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '24,000', 'currency': '₹'}",,കോഴിക്കോട് നഗരത്തിൽ മനസ്സിൽ തുടങ്ങുന്ന നല്ലൊരു ഫ്ലാറ്റ് കണ്ടെത്തുക വലിയ പ്രയാസം തന്നെ. എന്നാൽ ഞങ്ങൾ നിങ്ങൾക്ക് ജോലി എളുപ്പമാക്കി തരുന്നു,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
മികച്ച വീടുകൾ കുഞ്ഞു വാടക,1671368522,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/isfgku2ho24i-IN/image;s=850x0,കോഴിക്കോട് നഗരത്തിൽ നിങ്ങൾക്ക് താമസിക്കുന്നതിന് വേണ്ടിയുള്ള മികച്ച വീടുകളുടെ ശ്രേണി,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
സ്റ്റാൻഡേർഡ് എന്നു പറഞ്ഞാൽ ഇതാണ്,1667217305,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '26,000', 'currency': '₹'}",,എപ്പോഴും ഫ്ലാറ്റ് വാടകയ്ക്ക് നോക്കുമ്പോൾ നാം അനുഭവിക്കുന്ന പ്രധാന പ്രശ്നം എന്നാൽ അതിന്റെ വൃത്തി കുറവും ഇന്റീരിയർ ഇന്റെ ഭംഗി കുറവും തന്നെയാണ്.,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,2
"GROUND FLOOR FOR RENT,THIRUVANNUR,CALICUT",1652399976,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thiruvannur","{'amount': '11,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yneyqriww4tu1-IN/image;s=850x0,"THREE BEDROOM ATTACHED,HALL,KITCHEN,GOOD WELL WATER,CAR SITE",REAL ESTATE AGENCY,"Thiruvannur, Kozhikode, Kerala",Houses & Villas,2,2
"FIRST  FLOOR FOR RENT,KUTHIRAVATTOM,CALICUT",1654322601,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kuthiravattom","{'amount': '11,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/eompa2z6kmjp2-IN/image;s=850x0,"TWO BEDROOM ATTACHED,HALL,KITCHEN,KWA WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Kuthiravattom, Kozhikode, Kerala",Apartments,2,2
"BACHELORS ALLOWED UP STAIR FOR RENT,KALLAI ,CALICUT",1652228130,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai","{'amount': '12,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/hzvjd43xn2id2-IN/image;s=850x0,"TWO BEDROOM,ONE COMMON BATHROOM,HALL,KITCHEN,K.W.A WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Kallai, Kozhikode, Kerala",Houses & Villas,1,2
"INDEPENDENT HOUSE FOR RENT,NEAR HI LITE MALL,CALICUT",1654320756,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dqyedlsepujs2-IN/image;s=850x0,"BACHELORS ALLOWED THREE BEDROOM ATTACHED,HALL,KITCHEN,GOOD WELL WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Thondayad, Kozhikode, Kerala",Houses & Villas,2,3
3 BHK FURNISHED FLAT FOR RENT NEAER THONDAYAD,1690162400,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/i24y0nne4lmy2-IN/image;s=850x0,Branded flat for rent & sale Available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,3,3
Furnished Flat for rent at Calicut,1696347995,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu","{'amount': '25,000', 'currency': '₹'}",,Looking for furnished Flat for Rent at Calicut,Big Deals,"Nadakkavu, Kozhikode, Kerala",Apartments,2,2
